Plane_type;Flight_mass_max;Kolvo_pass_bus;Kolvo_pass_econ;Mass_pn;Flight_range;Flight_speed_cruis;Engines_number;Thrust_ratio;Engine_dry_weight
1;79000;0;0;24000;5400;840;2;0,32;2303
0;79000;4;10;1729;5400;840;2;0,32;2303
